TOPIC,SUBTOPIC,EXERCISE ID,EXERCISE DESCRIPTION
Algebra,Algebra Expressions,EX01,Choose the equivalent algebraic expression
Algebra,Algebra Expressions,EX02,Choose the equivalent algebraic expression
Algebra,Algebra Expressions,EX03,Choose the equivalent algebraic expression
Algebra,Algebra Expressions,EX04,Choose the equivalent algebraic expression
Algebra,Algebra Expressions,EX05,Choose the equivalent algebraic expression
Algebra,Algebra Expressions,EX06,Choose the equivalent algebraic expression
Algebra,Algebra Expressions,EX07,Choose the equivalent algebraic expression
Algebra,Divide & Multiply Algebra,AL01,Solving Equations (form aX = c )
Algebra,Divide & Multiply Algebra,AL02,Solving Equations (form X/a= c )
Algebra,Divide & Multiply Algebra,AL13,Solving Equations (form a/X= c )
Algebra,Divide & Multiply Algebra,AL17,Solving Equations by Multiplication and Division
Algebra,Divide & Multiply Algebra,AL19,Solving Equations by Multiplication and Division
Algebra,Divide & Multiply Algebra,EQ04,Solving Equations (form ax + b = cx+d )
Algebra,Divide & Multiply Algebra,EQ05,Solving Equations (form ax + b = cx+d )
Algebra,Inequalities,IQ02,Write an inequality for each graph
Algebra,Inequalities,IQ03,Solving One Step Inequalities by Adding/ Subtracting
Algebra,Inequalities,IQ04,Solving Two-Step Inequalities
Algebra,Constant of Proportionality,EQ10,Find the constant of proportionality from the equation
Algebra,Constant of Proportionality,EQ11,Find the constant of proportionality for each graph
Algebra,Constant of Proportionality,EQ12,Find the constant of proportionality for each table 
Algebra,Constant of Proportionality,EQ13,Fill in the tables based on their constant of proportionality k
Algebra,Constant of Proportionality,SE01,Arithmetic Sequences Problems
Algebra,Constant of Proportionality,SE02,Arithmetic Sequences Problems
Algebra,Constant of Proportionality,SE03,Arithmetic Sequences Rules
Algebra,Constant of Proportionality,SE04,Geometric Sequences Problems
Algebra,Constant of Proportionality,SE05,Function table
Algebra,Arithmetic Sequences,SE06,Nth Term of an Arithmetic Sequence
Algebra,"Linear equations, Slope and y-intercept",EQ06,Function Tables (Find Slope )
Algebra,"Linear equations, Slope and y-intercept",EQ07,Find the slope of the line through each pair of points
Algebra,"Linear equations, Slope and y-intercept",EQ08,Slope (how steep a straight line is)
Algebra,"Linear equations, Slope and y-intercept",EQ09,Find the slope and the y-intercept of each line
Algebra,"Solving Equations, Algebra",AL03,Solving Equations (form ax + b = c )
Algebra,"Solving Equations, Algebra",AL04,Solving Equations (form ax + b = c ) including negative values 
Algebra,"Solving Equations, Algebra",AL05,Solving Equations (form ax + b = c )
Algebra,"Solving Equations, Algebra",AL06,Solving Equations (form ax + b = c )
Algebra,"Solving Equations, Algebra",AL07,Solving Equations (form ax + b = c )
Algebra,"Solving Equations, Algebra",AL08,Solving Equations with Variables on Both Sides
Algebra,"Solving Equations, Algebra",AL14,Solve for the variable shown in the expression
Algebra,"Solving Equations, Algebra",AL16,Solving Equations by Addition and Subtraction
